1088,VLAN-1088,10.2.88.0,255.255.255.0,10.2.88.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging workloads in DC,15 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,19,7.5
1089,VLAN-1089,10.3.89.0,255.255.255.0,10.3.89.1,Management,DC-Central Illinois,Infrastructure subnet for Management workloads in DC,14 servers assigned,No,10.3.100.5,10.3.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,20,7.9
1090,VLAN-1090,10.1.90.0,255.255.255.0,10.1.90.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,22 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,28,11.0
1091,VLAN-1091,10.1.91.0,255.255.255.0,10.1.91.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging workloads in DC,23 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,10,3.9
1092,VLAN-1092,10.1.92.0,255.255.255.0,10.1.92.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ workloads in DC,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,8,3.1
1093,VLAN-1093,10.3.93.0,255.255.255.0,10.3.93.1,Monitoring,DC-Central Illinois,Infrastructure subnet for Monitoring workloads in DC,21 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,5,2.0
1094,VLAN-1094,10.3.94.0,255.255.255.0,10.3.94.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ workloads in DC,14 servers assigned,No,10.3.100.5,10.3.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,23,9.1
1095,VLAN-1095,10.3.95.0,255.255.255.0,10.3.95.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database workloads in DC,23 servers assigned,No,10.3.100.5,10.3.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,12,4.7
1096,VLAN-1096,10.1.96.0,255.255.255.0,10.1.96.1,QA-Testing,DC-East Virginia,Infrastructure subnet for QA-Testing workloads in DC,17 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,1,0.4
1097,VLAN-1097,10.2.97.0,255.255.255.0,10.2.97.1,Management,DC-West Oregon,Infrastructure subnet for Management workloads in DC,2 servers assigned,No,10.2.100.5,10.2.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,17,6.7
1098,VLAN-1098,10.1.98.0,255.255.255.0,10.1.98.1,QA-Testing,DC-East Virginia,Infrastructure subnet for QA-Testing workloads in DC,16 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,28,11.0
1099,VLAN-1099,10.3.99.0,255.255.255.0,10.3.99.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup workloads in DC,12 servers assigned,No,10.3.100.5,10.3.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,28,11.0
1100,VLAN-1100,10.1.100.0,255.255.255.0,10.1.100.1,Storage,DC-East Virginia,Infrastructure subnet for Storage workloads in DC,3 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,12,4.7
1101,VLAN-1101,10.2.101.0,255.255.255.0,10.2.101.1,DR-Replication,DC-West Oregon,Infrastructure subnet for DR-Replication workloads in DC,13 servers assigned,No,10.2.100.5,10.2.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,11,4.3
1102,VLAN-1102,10.3.102.0,255.255.255.0,10.3.102.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development workloads in DC,16 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,10,3.9
1103,VLAN-1103,10.1.103.0,255.255.255.0,10.1.103.1,Management,DC-East Virginia,Infrastructure subnet for Management workloads in DC,19 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,7,2.8
1104,VLAN-1104,10.1.104.0,255.255.255.0,10.1.104.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging workloads in DC,18 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,10,3.9
1105,VLAN-1105,10.2.105.0,255.255.255.0,10.2.105.1,Storage,DC-West Oregon,Infrastructure subnet for Storage workloads in DC,21 servers assigned,No,10.2.100.5,10.2.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,20,7.9
1106,VLAN-1106,10.2.106.0,255.255.255.0,10.2.106.1,Management,DC-West Oregon,Infrastructure subnet for Management workloads in DC,11 servers assigned,No,10.2.100.5,10.2.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,3,1.2
1107,VLAN-1107,10.3.107.0,255.255.255.0,10.3.107.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production workloads in DC,24 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,13,5.1
1108,VLAN-1108,10.2.108.0,255.255.255.0,10.2.108.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development workloads in DC,13 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,29,11.4
1109,VLAN-1109,10.2.109.0,255.255.255.0,10.2.109.1,Storage,DC-West Oregon,Infrastructure subnet for Storage workloads in DC,10 servers assigned,No,10.2.100.5,10.2.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,25,9.8
1110,VLAN-1110,10.2.110.0,255.255.255.0,10.2.110.1,DR-Replication,DC-West Oregon,Infrastructure subnet for DR-Replication workloads in DC,19 servers assigned,No,10.2.100.5,10.2.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,16,6.3
1111,VLAN-1111,10.3.111.0,255.255.255.0,10.3.111.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage workloads in DC,6 servers assigned,No,10.3.100.5,10.3.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,7,2.8
1112,VLAN-1112,10.1.112.0,255.255.255.0,10.1.112.1,Management,DC-East Virginia,Infrastructure subnet for Management workloads in DC,17 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,13,5.1
1113,VLAN-1113,10.3.113.0,255.255.255.0,10.3.113.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging workloads in DC,11 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,12,4.7
1114,VLAN-1114,10.2.114.0,255.255.255.0,10.2.114.1,DR-Replication,DC-West Oregon,Infrastructure subnet for DR-Replication workloads in DC,5 servers assigned,No,10.2.100.5,10.2.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,28,11.0
1115,VLAN-1115,10.3.115.0,255.255.255.0,10.3.115.1,DR-Replication,DC-Central Illinois,Infrastructure subnet for DR-Replication workloads in DC,3 servers assigned,No,10.3.100.5,10.3.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,24,9.4
1116,VLAN-1116,10.1.116.0,255.255.255.0,10.1.116.1,Monitoring,DC-East Virginia,Infrastructure subnet for Monitoring workloads in DC,9 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,2,0.8
1117,VLAN-1117,10.1.117.0,255.255.255.0,10.1.117.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,4 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,15,5.9
1118,VLAN-1118,10.1.118.0,255.255.255.0,10.1.118.1,Storage,DC-East Virginia,Infrastructure subnet for Storage workloads in DC,22 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,13,5.1
1119,VLAN-1119,10.1.119.0,255.255.255.0,10.1.119.1,Monitoring,DC-East Virginia,Infrastructure subnet for Monitoring workloads in DC,22 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,30,11.8
1120,VLAN-1120,10.1.120.0,255.255.255.0,10.1.120.1,Backup,DC-East Virginia,Infrastructure subnet for Backup workloads in DC,1 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,7,2.8
1121,VLAN-1121,10.3.121.0,255.255.255.0,10.3.121.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production workloads in DC,25 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,11,4.3
1122,VLAN-1122,10.3.122.0,255.255.255.0,10.3.122.1,Monitoring,DC-Central Illinois,Infrastructure subnet for Monitoring workloads in DC,12 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,23,9.1
1123,VLAN-1123,10.1.123.0,255.255.255.0,10.1.123.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,23 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,19,7.5
1124,VLAN-1124,10.2.124.0,255.255.255.0,10.2.124.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ workloads in DC,15 servers assigned,No,10.2.100.5,10.2.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,11,4.3
1125,VLAN-1125,10.1.125.0,255.255.255.0,10.1.125.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging workloads in DC,25 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,30,11.8
1126,VLAN-1126,10.1.126.0,255.255.255.0,10.1.126.1,QA-Testing,DC-East Virginia,Infrastructure subnet for QA-Testing workloads in DC,14 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,13,5.1
1127,VLAN-1127,10.3.127.0,255.255.255.0,10.3.127.1,Management,DC-Central Illinois,Infrastructure subnet for Management workloads in DC,20 servers assigned,No,10.3.100.5,10.3.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,4,1.6
1128,VLAN-1128,10.2.128.0,255.255.255.0,10.2.128.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production workloads in DC,11 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,9,3.5
1129,VLAN-1129,10.3.129.0,255.255.255.0,10.3.129.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production workloads in DC,3 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,23,9.1
1130,VLAN-1130,10.2.130.0,255.255.255.0,10.2.130.1,Monitoring,DC-West Oregon,Infrastructure subnet for Monitoring workloads in DC,6 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,16,6.3
1131,VLAN-1131,10.1.131.0,255.255.255.0,10.1.131.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,12 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,21,8.3
1132,VLAN-1132,10.1.132.0,255.255.255.0,10.1.132.1,Management,DC-East Virginia,Infrastructure subnet for Management workloads in DC,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,6,2.4
1133,VLAN-1133,10.2.133.0,255.255.255.0,10.2.133.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development workloads in DC,6 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,30,11.8
1134,VLAN-1134,10.2.134.0,255.255.255.0,10.2.134.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database workloads in DC,3 servers assigned,No,10.2.100.5,10.2.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,28,11.0
1135,VLAN-1135,10.1.135.0,255.255.255.0,10.1.135.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database workloads in DC,10 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,6,2.4
1136,VLAN-1136,10.3.136.0,255.255.255.0,10.3.136.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging workloads in DC,13 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,19,7.5
1137,VLAN-1137,10.3.137.0,255.255.255.0,10.3.137.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging workloads in DC,17 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,20,7.9
1138,VLAN-1138,10.2.138.0,255.255.255.0,10.2.138.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ workloads in DC,9 servers assigned,No,10.2.100.5,10.2.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,15,5.9
1139,VLAN-1139,10.3.139.0,255.255.255.0,10.3.139.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging workloads in DC,17 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,29,11.4
1140,VLAN-1140,10.2.140.0,255.255.255.0,10.2.140.1,Monitoring,DC-West Oregon,Infrastructure subnet for Monitoring workloads in DC,8 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,25,9.8
1141,VLAN-1141,10.3.141.0,255.255.255.0,10.3.141.1,Management,DC-Central Illinois,Infrastructure subnet for Management workloads in DC,5 servers assigned,No,10.3.100.5,10.3.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,21,8.3
1142,VLAN-1142,10.1.142.0,255.255.255.0,10.1.142.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,5 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,13,5.1
1143,VLAN-1143,10.2.143.0,255.255.255.0,10.2.143.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database workloads in DC,4 servers assigned,No,10.2.100.5,10.2.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,15,5.9
1144,VLAN-1144,10.1.144.0,255.255.255.0,10.1.144.1,DR-Replication,DC-East Virginia,Infrastructure subnet for DR-Replication workloads in DC,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,16,6.3
1145,VLAN-1145,10.2.145.0,255.255.255.0,10.2.145.1,Backup,DC-West Oregon,Infrastructure subnet for Backup workloads in DC,10 servers assigned,No,10.2.100.5,10.2.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,19,7.5
1146,VLAN-1146,10.3.146.0,255.255.255.0,10.3.146.1,Monitoring,DC-Central Illinois,Infrastructure subnet for Monitoring workloads in DC,5 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,26,10.2
1147,VLAN-1147,10.2.147.0,255.255.255.0,10.2.147.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database workloads in DC,23 servers assigned,No,10.2.100.5,10.2.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,1,0.4
1148,VLAN-1148,10.2.148.0,255.255.255.0,10.2.148.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database workloads in DC,19 servers assigned,No,10.2.100.5,10.2.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,26,10.2
1149,VLAN-1149,10.2.149.0,255.255.255.0,10.2.149.1,Management,DC-West Oregon,Infrastructure subnet for Management workloads in DC,9 servers assigned,No,10.2.100.5,10.2.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,23,9.1
1150,VLAN-1150,10.3.150.0,255.255.255.0,10.3.150.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging workloads in DC,18 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,9,3.5
1151,VLAN-1151,10.3.151.0,255.255.255.0,10.3.151.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage workloads in DC,22 servers assigned,No,10.3.100.5,10.3.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,16,6.3
1152,VLAN-1152,10.1.152.0,255.255.255.0,10.1.152.1,Storage,DC-East Virginia,Infrastructure subnet for Storage workloads in DC,12 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,27,10.6
1153,VLAN-1153,10.3.153.0,255.255.255.0,10.3.153.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production workloads in DC,1 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,26,10.2
1154,VLAN-1154,10.2.154.0,255.255.255.0,10.2.154.1,Backup,DC-West Oregon,Infrastructure subnet for Backup workloads in DC,1 servers assigned,No,10.2.100.5,10.2.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,27,10.6
1155,VLAN-1155,10.1.155.0,255.255.255.0,10.1.155.1,DR-Replication,DC-East Virginia,Infrastructure subnet for DR-Replication workloads in DC,24 servers assigned,No,10.1.100.5,10.1.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,28,11.0
1156,VLAN-1156,10.2.156.0,255.255.255.0,10.2.156.1,Management,DC-West Oregon,Infrastructure subnet for Management workloads in DC,4 servers assigned,No,10.2.100.5,10.2.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,14,5.5
1157,VLAN-1157,10.3.157.0,255.255.255.0,10.3.157.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup workloads in DC,23 servers assigned,No,10.3.100.5,10.3.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,14,5.5
1158,VLAN-1158,10.3.158.0,255.255.255.0,10.3.158.1,QA-Testing,DC-Central Illinois,Infrastructure subnet for QA-Testing workloads in DC,21 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,15,5.9
1159,VLAN-1159,10.1.159.0,255.255.255.0,10.1.159.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,15 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,5,2.0
1160,VLAN-1160,10.3.160.0,255.255.255.0,10.3.160.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging workloads in DC,8 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_STAGING-STD,ACL-INTERNAL_STAGING-TIER,254,7,2.8
1161,VLAN-1161,10.1.161.0,255.255.255.0,10.1.161.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database workloads in DC,10 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,9,3.5
1162,VLAN-1162,10.1.162.0,255.255.255.0,10.1.162.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ workloads in DC,6 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,28,11.0
1163,VLAN-1163,10.1.163.0,255.255.255.0,10.1.163.1,Monitoring,DC-East Virginia,Infrastructure subnet for Monitoring workloads in DC,20 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,1,0.4
1164,VLAN-1164,10.1.164.0,255.255.255.0,10.1.164.1,Internal-Production,DC-East Virginia,Infrastructure subnet for Internal-Production workloads in DC,22 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,4,1.6
1165,VLAN-1165,10.2.165.0,255.255.255.0,10.2.165.1,DR-Replication,DC-West Oregon,Infrastructure subnet for DR-Replication workloads in DC,3 servers assigned,No,10.2.100.5,10.2.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,8,3.1
1166,VLAN-1166,10.1.166.0,255.255.255.0,10.1.166.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ workloads in DC,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,1,0.4
1167,VLAN-1167,10.1.167.0,255.255.255.0,10.1.167.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database workloads in DC,1 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,19,7.5
1168,VLAN-1168,10.3.168.0,255.255.255.0,10.3.168.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development workloads in DC,16 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,25,9.8
1169,VLAN-1169,10.3.169.0,255.255.255.0,10.3.169.1,QA-Testing,DC-Central Illinois,Infrastructure subnet for QA-Testing workloads in DC,13 servers assigned,Yes,10.3.100.5,10.3.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,27,10.6
1170,VLAN-1170,10.2.170.0,255.255.255.0,10.2.170.1,Management,DC-West Oregon,Infrastructure subnet for Management workloads in DC,16 servers assigned,No,10.2.100.5,10.2.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,4,1.6
1171,VLAN-1171,10.3.171.0,255.255.255.0,10.3.171.1,DR-Replication,DC-Central Illinois,Infrastructure subnet for DR-Replication workloads in DC,7 servers assigned,No,10.3.100.5,10.3.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,21,8.3
1172,VLAN-1172,10.2.172.0,255.255.255.0,10.2.172.1,Monitoring,DC-West Oregon,Infrastructure subnet for Monitoring workloads in DC,21 servers assigned,Yes,10.2.100.5,10.2.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,29,11.4
1173,VLAN-1173,10.1.173.0,255.255.255.0,10.1.173.1,QA-Testing,DC-East Virginia,Infrastructure subnet for QA-Testing workloads in DC,13 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,19,7.5
1174,VLAN-1174,10.3.174.0,255.255.255.0,10.3.174.1,DR-Replication,DC-Central Illinois,Infrastructure subnet for DR-Replication workloads in DC,2 servers assigned,No,10.3.100.5,10.3.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,7,2.8
1175,VLAN-1175,10.3.175.0,255.255.255.0,10.3.175.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup workloads in DC,7 servers assigned,No,10.3.100.5,10.3.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,18,7.1
1176,VLAN-1176,10.1.176.0,255.255.255.0,10.1.176.1,QA-Testing,DC-East Virginia,Infrastructure subnet for QA-Testing workloads in DC,22 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-QA_TESTING-STD,ACL-QA_TESTING-TIER,254,16,6.3
1177,VLAN-1177,10.1.177.0,255.255.255.0,10.1.177.1,Internal-Production,DC-East Virginia,Infrastructure subnet for Internal-Production workloads in DC,5 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_PRODUCTION-STD,ACL-INTERNAL_PRODUCTION-TIER,254,24,9.4
1178,VLAN-1178,10.1.178.0,255.255.255.0,10.1.178.1,Storage,DC-East Virginia,Infrastructure subnet for Storage workloads in DC,6 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,8,3.1
1179,VLAN-1179,10.3.179.0,255.255.255.0,10.3.179.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database workloads in DC,21 servers assigned,No,10.3.100.5,10.3.100.6,FW-INTERNAL_DATABASE-STD,ACL-INTERNAL_DATABASE-TIER,254,11,4.3
1180,VLAN-1180,10.1.180.0,255.255.255.0,10.1.180.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,14 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,20,7.9
1181,VLAN-1181,10.2.181.0,255.255.255.0,10.2.181.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ workloads in DC,10 servers assigned,No,10.2.100.5,10.2.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,30,11.8
1182,VLAN-1182,10.2.182.0,255.255.255.0,10.2.182.1,DR-Replication,DC-West Oregon,Infrastructure subnet for DR-Replication workloads in DC,25 servers assigned,No,10.2.100.5,10.2.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,17,6.7
1183,VLAN-1183,10.1.183.0,255.255.255.0,10.1.183.1,Monitoring,DC-East Virginia,Infrastructure subnet for Monitoring workloads in DC,18 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-MONITORING-STD,ACL-MONITORING-TIER,254,20,7.9
1184,VLAN-1184,10.1.184.0,255.255.255.0,10.1.184.1,DR-Replication,DC-East Virginia,Infrastructure subnet for DR-Replication workloads in DC,10 servers assigned,No,10.1.100.5,10.1.100.6,FW-DR_REPLICATION-STD,ACL-DR_REPLICATION-TIER,254,18,7.1
1185,VLAN-1185,10.1.185.0,255.255.255.0,10.1.185.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development workloads in DC,19 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL_DEVELOPMENT-STD,ACL-INTERNAL_DEVELOPMENT-TIER,254,15,5.9
